Constellation	XBayerFlamsteed	RA	Dec	Distance	Mag
Phe	XEps	0.15681663	-45.74698836	42.95532646	3.88
Gru	XIot	23.17261887	-45.24664747	56.72149745	3.88
Lup	XKap1	15.19893362	-48.73770212	55.89714925	3.88
Ari	X5Gam2	1.892157	19.29409264	62.6566416	3.88
Leo	X24Mu	9.87943268	26.00708498	40.78303426	3.88
Eri	X3Eta	2.94044549	-8.89760976	40.83299306	3.89
Vir	X15Eta	12.33177539	-0.66674709	76.56967841	3.89
CMa	X16Omi1	6.90220967	-24.18422296	606.0606061	3.89
Cyg	X21Eta	19.93844337	35.08349079	42.73504274	3.89
Hya	X22The	9.23938701	2.31502422	39.46329913	3.89
Cen	XPi	11.35012284	-54.49101395	98.52216749	3.9
Hya	X35Iot	9.66425943	-1.14265722	84.53085376	3.9
Lup	XPi	15.08530713	-47.05119386	152.4390244	3.91
Cen	XSig	12.46733655	-50.2306048	135.8695652	3.91
Her	X22Tau	16.3290133	46.31327084	96.43201543	3.91
Lib	X38Gam	15.59209426	-14.78955365	46.6853408	3.91
Tau	X38Nu	4.05260466	5.98930909	39.61965135	3.91
Equ	X8Alp	21.26372131	5.2480739	57.11022273	3.92
Sgr	X44Rho1	19.36121535	-17.84725155	37.32736096	3.92
Her	X58Eps	17.00483505	30.92633926	49.9001996	3.92
Phe	XDel	1.5208282	-49.07307701	45.14672686	3.93
Phe	XKap	0.43669894	-43.67990933	23.52387673	3.93
Vol	XZet	7.69699889	-72.60613528	41.05090312	3.93
Sco	X9Ome1	16.11345346	-20.66913479	129.8701299	3.93
Per	X18Tau	2.90429513	52.76248991	76.04562738	3.93
Eri	X48Nu	4.60531682	-3.352448	179.8561151	3.93
Oph	X67	18.01075431	2.93158759	434.7826087	3.93
Phe	XZet	1.13973891	-55.24583235	85.76329331	3.94
Pup	X3	7.73013114	-28.9548352	10000000	3.94
Mon	X26Alp	7.68746574	-9.55108315	44.2282176	3.94
Cnc	X47Del	8.7447528	18.15486399	41.71881519	3.94
Cyg	X58Nu	20.95289212	41.16719384	109.0512541	3.94
CMa	X7Nu 2	6.61138858	-19.25570928	19.83733386	3.95
Cas	X50	2.05727509	72.42123962	49.70178926	3.95
UMa	X79Zet	13.39889854	54.92089219	24.15458937	3.95
Sgr	XAlp	19.3980976	-40.61564629	52.08333333	3.96
Sgr	XBet1	19.37730181	-44.45891013	116.0092807	3.96
Col	XEta	5.98577514	-42.81510761	162.8664495	3.96
Cyg	X32	20.25786618	47.7142053	340.1360544	3.96
Per	X48	4.14435368	47.71259359	169.7792869	3.96
Aqr	X98	23.38286152	-20.10034505	49.65243297	3.96
Pyx	XBet	8.66837126	-35.30830091	119.047619	3.97
Vol	XDel	7.28050856	-67.95717248	202.4291498	3.97
Gru	XDel1	22.48782057	-43.49555433	90.66183137	3.97
Pav	XEps	20.00983148	-72.91018443	32.5414904	3.97
Cen	XRho	12.19420872	-52.36841559	104.9317943	3.97
Lup	X5Chi	15.84931715	-33.62710488	63.0517024	3.97
Aur	X32Nu	5.85816462	39.14847936	65.91957811	3.97
Eri	X43	4.40060148	-34.01698632	83.68200837	3.97
Peg	X47Lam	22.77551177	23.56567939	121.0653753	3.97
Per	X46Xi	3.98274992	35.79102701	543.4782609	3.98
Cyg	X73Rho	21.56635357	45.59206564	38.16793893	3.98
Tuc	XGam	23.29050334	-58.23592762	22.02643172	3.99
Mon	X5Gam	6.24759346	-6.27472737	197.6284585	3.99
Cet	X59Ups	2.00006244	-21.07777193	92.25092251	3.99
UMa	X80	13.42039322	54.98799884	24.8818114	3.99
Vol	XAlp	9.04077745	-66.39584369	38.1097561	4
Sco	X14Nu	16.19992791	-19.46064684	133.8688086	4
Leo	X78Iot	11.39871355	10.52969772	24.23654872	4
Nor	XGam2	16.33071322	-50.15537923	39.09304144	4.01
Per	XPhi	1.72767091	50.6887655	219.7802198	4.01
Pav	XZet	18.71725939	-71.42772867	64.30868167	4.01
Dra	X13The	16.03158437	58.56443739	20.92487968	4.01
CMa	X28Ome	7.24685045	-26.77268601	283.286119	4.01
Cyg	X41	20.48992526	30.36855661	232.5581395	4.01
Gem	X43Zet	7.06848205	20.57029939	358.4229391	4.01
Eri	X57Mu	4.7583725	-3.25462465	163.132137	4.01
Pyx	XGam	8.84222536	-27.71005869	63.97952655	4.02
Crv	X1Alp	12.14020907	-24.72877993	14.76886723	4.02
Aql	X12	19.02801149	-5.73901832	45.55808656	4.02
Aql	X13Eps	18.99371922	15.06847757	47.12535344	4.02
Cru	XMu 1	12.90990489	-57.17789116	115.7407407	4.03
Del	X2Eps	20.55354577	11.30333217	110.0110011	4.03
Tri	X9Gam	2.28856547	33.84732099	36.06202669	4.03
Cam	X10Bet	5.05697146	60.44228144	305.8103976	4.03
Psc	X28Ome	23.98850066	6.86359373	32.48862898	4.03
Cnc	X48Iot	8.7782873	28.76000509	91.40767824	4.03
Oph	X70	18.09089245	2.50243928	5.085952599	4.03
Vir	X3Nu	11.76432515	6.52981394	95.96928983	4.04
Boo	X23The	14.42000537	51.85171354	14.57088737	4.04
Eri	X38Omi1	4.19775922	-6.8377787	38.49114704	4.04
Aqr	X62Eta	22.58925803	-0.11736123	56.27462015	4.04
Cha	XAlp	8.30868523	-76.91998251	19.45525292	4.05
Per	XIot	3.1508009	49.61350009	10.53407774	4.05
Cen	XPsi	14.34263313	-37.88526711	75.81501137	4.05
Lup	XRho	14.63145864	-49.42575765	95.14747859	4.05
Boo	X5Ups	13.82463829	15.79780583	75.24454477	4.05
Aqr	X71Tau2	22.8265305	-13.59253756	116.5501166	4.05
Leo	X77Sig	11.35229115	6.02935289	65.6167979	4.05
Mus	XEps	12.29295453	-67.96067161	92.59259259	4.06
Ara	XEps1	16.99306851	-53.16049005	93.28358209	4.06
Cru	XZet	12.30730353	-64.00304555	110.7419712	4.06
Ori	X9Omi2	4.93953363	13.51457755	51.92107996	4.06
Crt	X15Gam	11.41471755	-17.68401748	25.70694087	4.06
Gem	X69Ups	7.59871452	26.89600343	73.69196758	4.06
Cir	XBet	15.29193339	-58.80087882	29.62962963	4.07
Lup	XLam	15.1473971	-45.27979406	124.6882793	4.07
Cep	X27Del	22.48617998	58.4151899	301.2048193	4.07
Vir	X99Iot	14.26691247	-5.99952622	21.39495079	4.07
Hyi	XDel	2.36250639	-68.6594239	41.49377593	4.08
Peg	X1	21.36809274	19.80435581	47.19207173	4.08
Crt	X7Alp	10.9963191	-18.29909723	53.44735436	4.08
Eri	X11Tau3	3.03988697	-23.62433613	26.42007926	4.08
Lyr	X13	18.92224587	43.9458926	107.1811361	4.08
CMa	X14The	6.90318908	-12.03859273	77.2797527	4.08
Cap	X23The	21.09910538	-17.23271095	48.52013586	4.08
And	X34Zet	0.78899727	24.26737703	55.61735261	4.08
Cet	X82Del	2.65804119	0.3285168	198.4126984	4.08
Ser	X35Kap	15.81233572	18.1417793	106.8376068	4.09
Ori	X40Phi2	5.61509185	9.291412	35.58718861	4.09
CrA	XBet	19.16715345	-39.34070677	155.7632399	4.1
Tel	XZet	18.48048221	-49.07003097	39.0625	4.1
Per	X13The	2.73657999	49.22866639	11.23216893	4.1
And	X50Ups	1.61332694	41.40638491	13.46801347	4.1
CrA	XAlp	19.15785508	-37.90423953	39.76143141	4.11
TrA	XEps	15.61199636	-66.31690469	66.26905235	4.11
Cha	XGam	10.59117177	-78.60781379	126.7427123	4.11
Eri	XIot	2.6777588	-39.85530905	44.60303301	4.11
Gru	XZet	23.01468731	-52.75410562	34.49465333	4.11
CMa	X23Gam	7.06263699	-15.63325876	123.3045623	4.11
Hya	X39Ups1	9.85796735	-14.84654997	83.89261745	4.11
Gru	XDel2	22.49595707	-43.74922804	99.60159363	4.12
Hyi	XEps	2.65978435	-68.2669476	47.01457452	4.12
Sgr	XIot	19.92102196	-41.8684135	58.00464037	4.12
Vir	X9Omi	12.08685266	8.73284563	52.41090147	4.12
Cap	X18Ome	20.86369338	-26.91912642	192.6782274	4.12
Per	X51Mu	4.24829381	48.40937312	221.72949	4.12
Ori	X61Mu	6.03971954	9.64736756	46.53327129	4.12
Oct	XBet	22.76770092	-81.38161731	43.04778304	4.13
Cap	X16Psi	20.76826836	-25.27051682	14.6713615	4.13
Psc	X17Iot	23.66578342	5.62735374	13.79120121	4.13
Gem	X18Nu	6.48271957	20.2121672	154.0832049	4.13
Ori	X29	5.39912122	-7.80795569	53.44735436	4.13
Lib	X46The	15.89707695	-16.7296223	49.95004995	4.13
Cru	XEta	12.11468134	-64.61363898	19.68891514	4.14
Lac	X1	22.26615838	37.74873483	192.3076923	4.14
Hya	X4Del	8.62761315	5.70379868	54.91488193	4.14
CrB	X4The	15.5488322	31.35915517	95.32888465	4.14
Tau	X5	3.51454638	12.93668186	110.4972376	4.14
Peg	X10Kap	21.7440845	25.64500284	35.2858151	4.14
CrB	X13Eps	15.95980608	26.87802632	70.42253521	4.14
Tau	X23	3.77210009	23.94846207	110.1321586	4.14
And	X19Kap	23.67345605	44.33397776	52.02913632	4.15
Mon	X22Del	7.19773899	-0.49278056	114.9425287	4.15
Her	X75Rho	17.39471468	37.14592396	123.1527094	4.15
Gem	X1	6.06867126	23.26363207	46.21072089	4.16
Oph	X44	17.43950482	-24.17502346	25.66735113	4.16
Gem	X62Rho	7.48516936	31.78407932	18.49796522	4.16
Cas	X15Kap	0.54999626	62.93178781	1265.822785	4.17
Aqr	X43The	22.28054621	-7.78323706	58.68544601	4.17
PsA	X18Eps	22.67759043	-27.0436148	228.3105023	4.18
Boo	X19Lam	14.27310454	46.08791894	29.77963073	4.18
Cep	X23Eps	22.25046638	57.04346522	25.73340196	4.18
Vir	X98Kap	14.21492805	-10.274044	68.54009596	4.18
Cen	X2	13.82409757	-34.45063035	54.37737901	4.19
Her	X110	18.76103644	20.54712356	19.09490166	4.19
Pup	X11	7.94765507	-22.88014849	154.0832049	4.2
PsA	X23Del	22.93247	-32.53970196	52.24660397	4.2
LMi	X31Bet	10.46474791	36.70747818	44.76275739	4.2
Ori	X32	5.51306886	5.94821792	88.49557522	4.2
Her	X35Sig	16.5683859	42.43689565	92.67840593	4.2
Peg	X46Xi	22.77817819	12.17408381	16.24959376	4.2
Pav	XGam	21.44069225	-65.36814438	9.216589862	4.21
Cep	X2The	20.49300758	62.99413722	41.59733777	4.21
UMi	X22Eps	16.76615597	82.03725071	106.2699256	4.21
Tau	X65Kap1	4.42280521	22.29398098	47.01457452	4.21
Sct	XBet	18.7862437	-4.74782871	211.4164905	4.22
Pav	XLam	18.87028792	-62.18756062	555.5555556	4.22
Lup	XThe	16.10987675	-36.80221297	125.9445844	4.22
Oph	X7Chi	16.45039952	-18.45619698	149.9250375	4.22
Lyr	X12Del2	18.90841352	36.89860518	275.4820937	4.22
Per	X16	2.84303172	38.31890838	39.15426782	4.22
Eri	X27Tau6	3.78083028	-23.248438	17.9243592	4.22
Dra	X43Phi	18.34595588	71.33772734	88.65248227	4.22
Cyg	X52	20.7610442	30.7196568	63.13131313	4.22
Cyg	X67Sig	21.29026459	39.39469016	1388.888889	4.22
Aqr	X90Phi	23.23870347	-6.0485268	68.11989101	4.22
Aps	XBet	16.71817212	-77.51657182	48.33252779	4.23
CrA	XGam	19.10695543	-37.06275714	17.89228842	4.23
Cep	XMu	21.72512637	58.78005308	1612.903226	4.23
Tuc	XZet	0.33386505	-64.8776232	8.592541674	4.23
Cen	X1	13.76154628	-33.04336606	19.26411096	4.23
Her	X11Phi	16.14616647	44.93481883	70.07708479	4.23
Com	X43Bet	13.19803407	27.87603769	9.154994049	4.23
Gem	X75Sig	7.72185703	28.8840717	37.48125937	4.23
Cyg	X81Pi 2	21.77989052	49.3095748	354.6099291	4.23
Vir	X93Tau	14.02743976	1.54458338	66.93440428	4.23
Cha	XBet	12.30581775	-79.31226899	82.98755187	4.24
Eri	XKap	2.44975138	-47.70382692	162.0745543	4.24
CVn	X8Bet	12.5625257	41.35676779	8.371002846	4.24
Ser	X56Omi	17.69025458	-12.87517268	51.51983514	4.24
Cet	X89Pi	2.73537623	-13.85867594	135.1351351	4.24
Aqr	X91Psi1	23.26479915	-9.08769554	45.51661356	4.24
Tuc	XKap	1.26263759	-68.87623708	20.43318349	4.25
UMi	X5	14.45875625	75.69593921	105.7082452	4.25
Cep	X10Nu	21.75748035	61.12081043	1562.5	4.25
Lyn	X31	8.38059169	43.18837233	119.1895113	4.25
Per	X47Lam	4.10973758	50.35135022	106.2699256	4.25
Per	X58	4.61150934	41.26485467	196.8503937	4.25
Eri	X69Lam	5.15243971	-8.75407607	537.6344086	4.25
Tau	X88	4.59423154	10.16091706	46.12546125	4.25
Eri	X82 Gam	3.33145134	-43.07154929	6.059871531	4.26
Dor	XGam	4.26708095	-51.48709578	20.30044661	4.26
Cam	X9Alp	4.90083628	66.34266029	2127.659574	4.26
Cep	X17Xi	22.06310052	64.62775425	31.18178983	4.26
Eri	X19Tau5	3.56312442	-21.63281597	90.74410163	4.26
And	X42Phi	1.15836727	47.2418241	225.7336343	4.26
Cnc	X65Alp	8.97477693	11.85777198	53.21979776	4.26
Her	X95	18.02511192	21.59568814	144.3001443	4.26
Psc	X110Omi	1.75655241	9.15764102	79.17656374	4.26
Sgr	XBet2	19.38696127	-44.79964788	42.5170068	4.27
Lup	XMu	15.30890239	-47.87519201	89.12655971	4.27
Cen	XXi 2	13.11518417	-49.90621586	126.2626263	4.27
Psc	X10The	23.46615772	6.37909727	48.68549172	4.27
Del	X12Gam2	20.77764388	16.12477326	31.11387679	4.27
Tau	X49Mu	4.25890144	8.89240989	133.3333333	4.27
Psc	X71Eps	1.04907107	7.89007256	58.34305718	4.27
Cet	X87Mu	2.7489926	10.11421979	25.83311806	4.27
Tau	X90	4.63594491	12.51087423	45.89261129	4.27
Tau	X94	4.7040843	22.95697545	122.8501229	4.27
Ant	XAlp	10.4525433	-31.06780228	112.3595506	4.28
Gru	XThe	23.1146579	-43.52032436	40.7996736	4.28
Peg	X29Pi 2	22.16645906	33.17826747	77.16049383	4.28
Cap	X32Iot	21.3707715	-16.83455521	66.09385327	4.28
Cyg	X33	20.22327809	56.56752223	46.70714619	4.28
Oph	X45	17.45590667	-29.86669942	34.17634997	4.28
Tau	X69Ups	4.43844298	22.81369394	47.4608448	4.28
Hya	XBet	11.88182257	-33.90813014	111.9820829	4.29
Lep	X6Lam	5.32625721	-13.17677698	330.0330033	4.29
Oph	X8Phi	16.51899859	-16.61264015	64.39150032	4.29
Tau	X10	3.61458859	0.40283316	13.71930306	4.29
UMi	X16Zet	15.73429554	77.79449901	115.2073733	4.29
PsA	X17Bet	22.52508043	-32.34602798	45.47521601	4.29
And	X17Iot	23.63560531	43.2680761	154.0832049	4.29
Aqr	X33Iot	22.10727926	-13.86954013	52.91005291	4.29
Scl	XAlp	0.97676274	-29.35746436	206.185567	4.3
Cap	X5Alp1	20.29412669	-12.50821403	210.5263158	4.3
Hya	X7Eta	8.72041287	3.39866539	143.0615165	4.3
Crv	X8Eta	12.53457909	-16.19586556	18.20830299	4.3
Tau	X19	3.75346725	24.46737879	114.2857143	4.3
Aur	X35Pi	5.99891705	45.93675346	257.7319588	4.3
Leo	X54	10.92690222	24.74975451	88.57395926	4.3
Tau	X68Del3	4.42481039	17.92798917	45.35147392	4.3
Cet	X73Xi 2	2.46931052	8.4600887	53.96654074	4.3
Leo	X91Ups	11.61581384	-0.82385424	54.6149645	4.3
Oct	XDel	14.44881687	-83.66785308	85.47008547	4.31
Sco	X10Ome2	16.1234167	-20.8686541	81.16883117	4.31
Boo	X51Mu 1	15.4082045	37.37696091	37.09198813	4.31
Aql	X71	20.63896486	-1.10507951	117.6470588	4.31
Lup	XOmi	14.86064536	-43.57529383	125	4.32
Cru	XThe1	12.05047198	-63.31294495	70.4721635	4.32
Cen	X3	13.86378478	-32.99401625	91.24087591	4.32
Leo	X4Lam	9.52867787	22.96806545	103.1991744	4.32
Hya	X12	8.77292429	-13.54770494	69.54102921	4.32
Per	X37Psi	3.60815558	48.19270068	214.5922747	4.32
Com	X42Alp	13.1665415	17.52911621	14.32459533	4.32
Aur	X44Kap	6.25631571	29.49871224	51.78663905	4.32
Ser	X53Nu	17.34712098	-12.846882	59.31198102	4.32
Eri	X54	4.67402609	-19.67125686	110.7419712	4.32
Tau	X119	5.53687534	18.59424525	588.2352941	4.32
Pav	XPi	18.14299745	-63.66804844	42.46284501	4.33
Lup	XTau2	14.43633376	-45.37926095	96.33911368	4.33
Lyr	X1Kap	18.33103366	36.06444696	72.93946025	4.33
CMi	X4Gam	7.46939707	8.92550376	121.9512195	4.33
Oph	X36	17.25591313	-26.60004896	5.985156811	4.33
UMa	X53Xi	11.30351192	31.53685216	10.41666667	4.33
Dor	XDel	5.74622751	-65.7355408	44.48398577	4.34
Lup	XOme	15.63425619	-42.56748493	70.4721635	4.34
Cha	XThe	8.34413553	-77.4845764	47.12535344	4.34
Cen	XUps2	14.02874776	-45.60336989	137.3626374	4.34
CMa	X4Xi 1	6.53093562	-23.41843727	628.9308176	4.34
Lac	X5	22.49217298	47.70689488	357.1428571	4.34
Lyr	X6Zet1	18.7462044	37.60505025	47.10315591	4.34
Peg	X9	21.74185847	17.35004352	276.2430939	4.34
And	X29Pi	0.61467749	33.71935227	201.2072435	4.34
And	X30Eps	0.64263868	29.312369	51.70630817	4.34
Cas	X33The	1.18498074	55.14994765	42.14075011	4.34
Oph	X49Sig	17.441911	4.14034239	359.7122302	4.34
Her	X111	18.78367287	18.18122968	28.43332386	4.34
Vol	XEps	8.13217799	-68.61713647	196.8503937	4.35
Pav	XXi	18.38711682	-61.49390506	128.8659794	4.35
Lup	X2	15.29717913	-30.14866233	94.42870633	4.35
Ori	X2Pi 2	4.84353396	8.90025258	59.3824228	4.35
PsA	X9Iot	21.74910772	-33.02555306	62.77463905	4.35
Hya	X13Rho	8.8072169	5.83788486	103.4126163	4.35
Lyn	X15	6.9546107	58.42305973	52.24660397	4.35
Com	X15Gam	12.44897988	28.26861975	52.13764338	4.35
Lyr	X21The	19.27280428	38.13372778	235.8490566	4.35
UMi	X23Del	17.53691588	86.58632924	56.02240896	4.35
Ari	X57Del	3.19379712	19.72669777	51.44032922	4.35
Tuc	XBet1	0.52571132	-62.95808549	42.82655246	4.36
Cen	XChi	14.10077389	-41.17958035	136.7989056	4.36
Phe	XEta	0.72256778	-57.46309763	73.69196758	4.36
Col	XGam	5.95894774	-35.28330688	261.7801047	4.36
Lep	X4Kap	5.22052361	-12.94128833	171.5265866	4.36
CMa	X20Iot	6.93561842	-17.05424675	943.3962264	4.36
Mon	X29Zet	8.14323824	-2.98377649	568.1818182	4.36
Per	X35Sig	3.50957839	47.99517199	108.3423619	4.36
Tau	X37	4.07823829	22.0820679	55.43237251	4.36
Aql	X41Iot	19.61202126	-1.28655047	94.25070688	4.36
Eri	X61Ome	4.88157788	-5.45275591	69.49270327	4.36
Cet	X65Xi 1	2.21666971	8.8467523	110.9877913	4.36
Col	XKap	6.27587093	-35.14073157	56.08524958	4.37
Sgr	XThe1	19.99560397	-35.27624433	189.3939394	4.37
Psc	X30	0.03266433	-6.01397169	127.2264631	4.37
CMa	X30Tau	7.31180218	-24.95438447	980.3921569	4.37
Her	X102	18.14597017	20.81457203	467.2897196	4.37
Scl	XBet	23.5494967	-37.81835895	54.70459519	4.38
Cep	X1Kap	20.14814344	77.71136178	100.3009027	4.38
Vir	X51The	13.16583667	-5.53892987	127.2264631	4.38
Aqr	X99	23.43411593	-20.64186122	94.60737938	4.38
Phe	XPsi	1.89411658	-46.30244631	98.52216749	4.39
Ind	XThe	21.33107883	-53.44926434	29.77963073	4.39
Sge	X5Alp	19.66827292	18.01393839	145.137881	4.39
Sge	X6Bet	19.68414825	17.47612356	143.0615165	4.39
Mon	X8Eps	6.39613824	4.59283881	39.38558488	4.39
Oph	X25Iot	16.90013982	10.16544339	71.68458781	4.39
Leo	X31	10.13175523	9.99766389	84.10428932	4.39
Ori	X37Phi1	5.58034384	9.48958528	302.1148036	4.39
Oph	X40Xi	17.35005841	-21.11243499	17.3973556	4.39
Ori	X54Chi1	5.9064122	20.27641498	8.663259118	4.39
Vir	X110	15.04835277	2.09127129	56.24296963	4.39
Ind	XDel	21.96528638	-54.9925666	56.6572238	4.4
Pav	XKap	18.94917796	-67.23353511	166.6666667	4.4
Pup	XOmi	7.80143747	-25.93718054	757.5757576	4.4
Pup	X16	8.15045651	-19.24500094	144.9275362	4.4
And	X38Eta	0.95345215	23.41775997	74.4047619	4.4
Scl	XGam	23.31372966	-32.53183574	54.8245614	4.41
Cep	X33Pi	23.13162169	75.3875815	67.43088334	4.41
Gem	X46Tau	7.18566433	30.24528065	92.50693802	4.41
Cyg	X66Ups	21.29862997	34.8968812	276.2430939	4.41
Her	X76Lam	17.512305	26.1106045	112.6126126	4.41
Aqr	X93Psi2	23.29838989	-9.1824899	98.71668312	4.41
Her	X94Nu	17.97504159	30.18926892	243.902439	4.41
Lac	X3Bet	22.39267678	52.22949951	52.05622072	4.42
CMa	X8Nu 3	6.6315072	-18.23745713	142.2475107	4.42
CMa	X27	7.23756011	-26.35251617	483.0917874	4.42
Ser	X27Lam	15.77409608	7.35323973	11.75364363	4.42
Hya	X58	14.83818519	-27.96021925	93.6329588	4.42
Leo	X60	11.0388281	20.17974575	37.92188093	4.42
Ori	X67Nu	6.12620051	14.76852318	163.9344262	4.42
Oph	X68	18.02921931	1.30510936	81.23476848	4.42
Peg	X68Ups	23.4229615	23.40401243	53.10674456	4.42
Aqr	X3	20.79562164	-5.02760303	136.425648	4.43
Cam	X7	4.95478345	53.75208289	115.2073733	4.43
Del	X11	20.72431825	15.07468224	62.38303182	4.43
Lyr	X20Eta	19.22930243	39.14596968	319.4888179	4.43
Eri	X26Pi	3.76902844	-12.1017353	152.4390244	4.43
Cyg	X39	20.39766555	32.19018607	78.30853563	4.43
Eri	X40Omi2	4.25489948	-7.64455846	5.044390638	4.43
Sgr	X62	20.04429424	-27.70987972	137.3626374	4.43
Cae	XAlp	4.67606197	-41.86357034	20.13287699	4.44
Ret	XEps	4.27474542	-59.30174841	18.23486506	4.44
Lup	XSig	14.54363429	-50.45712132	176.056338	4.44
Lyn	X2	6.32705299	59.01090518	45.70383912	4.44
Vul	X6Alp	19.4784475	24.66516482	90.90909091	4.44
Cet	X7	0.24400908	-18.93268628	151.0574018	4.44
Psc	X63Del	0.81135982	7.58520186	93.5453695	4.44
For	XBet	2.8181554	-32.40628403	51.78663905	4.45
Cha	XDel2	10.76309326	-80.54020283	111.4827202	4.45
Lep	X3Iot	5.20496871	-11.86914287	73.90983001	4.45
Hya	X5Sig	8.64595799	3.34147477	108.1081081	4.45
Oph	X9Ome	16.53560738	-21.46647783	53.59056806	4.45
Aql	X38Mu	19.56811881	7.37931918	33.89830508	4.45
Dra	X60Tau	19.25924825	73.35521457	46.01932812	4.45
Ori	X70Xi	6.1989991	14.20881425	194.5525292	4.45
Leo	X74Phi	11.27771224	-3.65151412	59.91611744	4.45
Psc	X106Nu	1.69052987	5.48760445	112.8668172	4.45
Nor	XEps	16.45306883	-47.5547359	122.5490196	4.46
Cas	XIot	2.48444116	67.40238385	43.40277778	4.46
Crt	X11Bet	11.19430174	-22.82560642	81.56606852	4.46
UMa	X15	9.1478849	51.60472728	29.30832356	4.46
Ori	X17Rho	5.22152211	2.86125346	105.374078	4.46
PsA	X22Gam	22.87543275	-32.87545019	68.16632584	4.46
Eri	X32	3.90485739	-2.95473348	105.7082452	4.46
CMa	XLam	6.46950484	-32.58012947	124.5330012	4.47
Gru	XLam	22.10191767	-39.54304903	75.75757576	4.47
Leo	X1Kap	9.41091093	26.18244091	65.44502618	4.47
Eri	X1Tau1	2.75166151	-18.57265077	13.97428731	4.47
Equ	X7Del	21.24133058	10.00771855	18.4808723	4.47
Ori	X10Pi6	4.97580635	1.71403506	292.3976608	4.47
Mon	X13	6.5483971	7.33297921	462.962963	4.47
Lib	X16	14.95307133	-4.34608634	27.90957298	4.47
UMa	X26	9.58041525	52.05156754	81.9000819	4.47
Boo	X28Sig	14.57796958	29.74480735	15.46551191	4.47
Cir	XGam	15.38962715	-59.32069839	156.25	4.48
Ret	XGam	4.01494584	-62.15936923	150.3759398	4.48
Psc	X4Bet	23.06461292	3.82006998	151.0574018	4.48
Oph	X4Psi	16.40172146	-20.03721137	54.58515284	4.48
Sex	X15Alp	10.13230432	-0.37162786	88.10572687	4.48
Mon	X18	6.79768245	2.41218914	114.416476	4.48
Cas	X22Omi	0.74541725	48.28438262	277.7777778	4.48
Tau	X71	4.43907547	15.6183462	47.93863854	4.48
Aqr	X86	23.11133535	-23.7431168	57.73672055	4.48
Tuc	XEps	23.99858613	-65.57707774	114.8105626	4.49
Cyg	X13The	19.60737289	50.22046347	18.59427296	4.49
Psc	X18Lam	23.70080049	1.7804172	30.88326127	4.49
LMi	X21	10.12381254	35.24469176	27.94857462	4.49
Cap	X24	21.11880151	-25.00574796	160.2564103	4.49
Boo	X29Pi 1	14.67876693	16.4183013	97.27626459	4.49
Gem	X30	6.73313723	13.22814319	84.60236887	4.49
Cas	X48	2.03265271	70.90704605	35.82945181	4.49
Eri	X50Ups1	4.55850819	-29.76583186	38.13882532	4.49
Cyg	X78Mu1	21.73566791	28.74322228	22.40143369	4.49
Aqr	X105Ome2	23.71202357	-14.54474243	47.25897921	4.49
Pic	XGam	5.83043799	-56.1664886	53.24813632	4.5
Boo	X4Tau	13.78778795	17.45677436	15.59575795	4.5
Lac	X11	22.67521732	44.27628068	92.50693802	4.5
Aqr	X13Nu	21.15988689	-11.37165474	50.17561465	4.5
PsA	X14Mu	22.13970922	-32.98839827	39.9840064	4.5
Vul	X23	20.2628215	27.8142285	100.6036217	4.5
Cap	X36	21.47869889	-21.80716659	55.00550055	4.5
Ori	X47Ome	5.65309608	4.12146667	497.5124378	4.5
Leo	X93	11.7997851	20.21894121	69.44444444	4.5
Tuc	XDel	22.4555203	-64.96637927	81.9000819	4.51
Ant	XEps	9.48742707	-35.9513478	214.5922747	4.51
Ind	XEta	20.73394074	-51.92084051	24.1662639	4.51
Cas	X7Rho	23.90639925	57.49939052	3571.428571	4.51
Ser	X21Iot	15.69252564	19.67050566	58.92751915	4.51
And	X25Sig	0.3054737	36.7853273	43.27131112	4.51
Aur	X29Tau	5.81957208	39.18113322	65.18904824	4.51
Cap	X39Eps	21.61800632	-19.46601352	203.2520325	4.51
Dra	X67Rho	20.04695756	67.87344872	124.6882793	4.51
Psc	X83Tau	1.19432964	30.08972962	49.72650423	4.51
Tel	XEps	18.18716006	-45.95432704	125.3132832	4.52
Peg	X2	21.49913323	23.63882922	135.6852103	4.52
Lac	X6	22.50812822	43.12338985	420.1680672	4.52
Ari	X39	2.79845596	29.24742385	55.3709856	4.52
Boo	X43Psi	15.07412697	26.94765981	76.68711656	4.52
Sgr	X46Ups	19.36211722	-15.95500233	512.8205128	4.52
Vir	X100Lam	14.31850051	-13.37116634	57.24098454	4.52
Tuc	XBet2	0.525932	-62.96544985	52.77044855	4.53
Sgr	X3	17.79267418	-27.83076255	330.0330033	4.53
And	X7	23.20914525	49.40597489	24.4977952	4.53
Boo	X17Kap2	14.2247083	51.78999066	47.55111745	4.53
And	X35Nu	0.83023048	41.07895474	208.3333333	4.53
Cyg	X54Lam	20.79014637	36.49073658	269.541779	4.53
Lup	XPhi2	15.38593424	-36.85843627	185.8736059	4.54
CMa	X5Xi 2	6.5842722	-22.96483318	126.2626263	4.54
LMi	X10	9.57038249	36.39761338	53.99568035	4.54
Aur	X16	5.30293003	33.37200411	71.83908046	4.54
UMa	X24	9.57471329	69.83015419	32.37293623	4.54
Lib	X24Iot1	15.20369782	-19.79163143	115.4734411	4.54
Hya	X32Tau2	9.53303743	-1.18465438	140.6469761	4.54
